Name,Labelbox category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely Values,Supervisely Category,Checkbox for follow-up,Assigned to
"""Country or group""-""objects"" -> ""classifications"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""* Flag Affiliation"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""flags"""" """"objects"""" -> """"title""""""","""Country or group""","""* Flag Affiliation""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Portugal""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Portugal"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""flags"""" """"objects"""" -> """"title""""""","""Portugal""","""Portugal""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Castile""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Castile"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""flags"""" """"objects"""" -> """"title""""""","""Castile""","""Castile""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Military Order""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Military Order"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""flags"""" """"objects"""" -> """"title""""""","""Military Order""","""Military Order""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Shape""-""objects"" -> ""classifications"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""* Flag shape"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""flags"""" """"objects"""" -> """"title""""""","""Shape""","""* Flag shape""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Rectangular""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Rectangular"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""flags"""" """"objects"""" -> """"title""""""","""Rectangular""","""Rectangular""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Triangular""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Triangular"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""flags"""" """"objects"""" -> """"title""""""","""Triangular""","""Triangular""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Trace the front facade, side facade and roof: The ""front"" will be the side that comes as close to facing the viewer as possible. Some may appear to be at 45 degrees, but the angle of the bottom of the house should show which is most horizontal., and therefore closer to facing front""-""objects"" -> ""classifications"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""Trace the front facade, side facade and roof: The ""front"" will be the side that comes as close to facing the viewer as possible. Some may appear to be at 45 degrees, but the angle of the bottom of the house should show which is most horizontal., and therefore closer to facing front""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""front facade""","""Front facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""roof (facing)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""roof (facing)""","""Roof front""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""eave (opposite side of visible roof)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Eave"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""eave (opposite side of visible roof)""","""Eave""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""chimney front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Chimney front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""chimney front facade""","""Chimney front""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""chimney side facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Chimney side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""chimney side facade""","""Chimney side""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""tower side facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""tower side facade""","""Side facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""tower front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""tower front facade""","""Front facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Full or partially occluded?""-""objects"" -> ""classifications"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""Full or partially occluded?""","""* Partially occluded or Complete?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Partially occluded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""Partially occluded""","""Partially Occluded""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Full""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""Full""","""Complete""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Ruined or intact""-""objects"" -> ""classifications"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""* Ruined or intact?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""house part"""" """"objects"""" -> """"title""""""","""Ruined or intact""","""* Ruined or intact?""","""objects"" -> tags"" -> ""name""",,Abbey List
