Name,Labelbox category,Supervisely Category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely ClassTitle or Tag,Supervisely Values,Checkbox for follow-up,Assigned to,Table 6
"""flags""-""objects"" -> ""title""-===>""""""Flag"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""flags""","""""""Flag"""" """"objects"""" -> """"classTitle""""""","""Flag""",,,
"""house part""-""objects"" -> ""title""-===>""""""House part"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""house part""","""""""House part"""" """"objects"""" -> """"classTitle""""""","""House part""",,,
"""watercraft by method of propulsion""-""objects"" -> ""title""-===>""""""Watercraft by method of propulsion"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""watercraft by method of propulsion""","""""""Watercraft by method of propulsion"""" """"objects"""" -> """"classTitle""""""","""Watercraft by method of propulsion""",,,
"""plant""-""objects"" -> ""title""-===>""""""Tree"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""plant""","""""""Tree"""" """"objects"""" -> """"classTitle""""""","""Tree""",,,
"""cross monuments""-""objects"" -> ""title""-===>""""""Crosses (Religious Monuments)"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""cross monuments""","""""""Crosses (Religious Monuments)"""" """"objects"""" -> """"classTitle""""""","""Crosses (Religious Monuments)""",,,
"""gallows and pillories""-""objects"" -> ""title""-===>""""""Gallows and pillories"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""gallows and pillories""","""""""Gallows and pillories"""" """"objects"""" -> """"classTitle""""""","""Gallows and pillories""",,,
"""Christian religious buildings""-""objects"" -> ""title""-===>""""""Christian religious building"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""Christian religious buildings""","""""""Christian religious building"""" """"objects"""" -> """"classTitle""""""","""Christian religious building""",,,
"""people (agents)""-""objects"" -> ""title""-===>""""""People"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""people (agents)""","""""""People"""" """"objects"""" -> """"classTitle""""""","""People""",,,
"""path (will be sketchy)""-""objects"" -> ""title""-===>""""""Path"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""path (will be sketchy)""","""""""Path"""" """"objects"""" -> """"classTitle""""""","""Path""",,,
"""bodies of water""-""objects"" -> ""title""-===>""""""Bodies of water"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""bodies of water""","""""""Bodies of water"""" """"objects"""" -> """"classTitle""""""","""Bodies of water""",,,
"""bridge (built works)""-""objects"" -> ""title""-===>""""""Mills, Bridges, Wells and Troughs"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""bridge (built works)""","""""""Mills, Bridges, Wells and Troughs"""" """"objects"""" -> """"classTitle""""""","""Mills, Bridges, Wells and Troughs""",,,
"""fenced field (land)""-""objects"" -> ""title""-===>""""""Fields, fences and non-fortified walls"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""fenced field (land)""","""""""Fields, fences and non-fortified walls"""" """"objects"""" -> """"classTitle""""""","""Fields, fences and non-fortified walls""",,,
"""mills (buildings)""-""objects"" -> ""title""-===>""""""Mills, Bridges, Wells and Troughs"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""mills (buildings)""","""""""Mills, Bridges, Wells and Troughs"""" """"objects"""" -> """"classTitle""""""","""Mills, Bridges, Wells and Troughs""",,,
"""well (structures)""-""objects"" -> ""title""-===>""""""Mills, Bridges, Wells and Troughs"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""well (structures)""","""""""Mills, Bridges, Wells and Troughs"""" """"objects"""" -> """"classTitle""""""","""Mills, Bridges, Wells and Troughs""",,,
"""domestic animal""-""objects"" -> ""title""-===>""""""Animals"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""domestic animal""","""""""Animals"""" """"objects"""" -> """"classTitle""""""","""Animals""",,,
"""rock""-""objects"" -> ""title""-===>""""""Rocks"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""rock""","""""""Rocks"""" """"objects"""" -> """"classTitle""""""","""Rocks""",,,
"""containers""-""objects"" -> ""title""-===>""""""Container"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""containers""","""""""Container"""" """"objects"""" -> """"classTitle""""""","""Container""",,,
"""scale bar""-""objects"" -> ""title""-===>""""""Scale Bar"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""scale bar""","""""""Scale Bar"""" """"objects"""" -> """"classTitle""""""","""Scale Bar""",,,
